facts_country_name,facts_un_region,total_score
Republic of Poland,Eastern Europe,11.48
Kingdom of Bahrain,Western Asia,10.41
Islamic Republic of Iran,Southern Asia,13.929999
Republic of Botswana,Southern Africa,7.1
Bosnia and Herzegovina,Southern Europe,8.96
Republic of Hungary,Eastern Europe,12.709999
Republic of Fiji,Melanesia,8.42
Republic of Indonesia,South-eastern Asia,14.48
Republic of Vanuatu,Melanesia,9.3
Republic of Colombia,South America,11.29
Hellenic Republic,Southern Europe,6.05
State of Eritrea,Eastern Africa,1.87
Syrian Arab Republic,Western Asia,6.97
Federative Republic of Brazil,South America,11.2699995
Republic of Benin,Western Africa,4.75
Republic of Panama,Central America,6.62
Bolivarian Republic of Venezuela,South America,9.4
Republic of Costa Rica,Central America,12.17
Republic of Zimbabwe,Eastern Africa,1.54
Republic of Bulgaria,Eastern Europe,6.8300004
Kingdom of Denmark,Northern Europe,9.97
Republic of Serbia,Southern Europe,9.85
Republic of Haiti,Caribbean,2.42
Ukraine,Eastern Europe,12.71
Dominican Republic,Caribbean,7.4000006
Japan,Eastern Asia,12.94
Italian Republic,Southern Europe,6.61
Republic of Palau,Micronesia,6.54
Republic of Iceland,Northern Europe,4.19
Tuvalu,Polynesia,1.44
Kingdom of Belgium,Western Europe,7.51
People's Republic of Bangladesh,Southern Asia,12.610001
State of Qatar,Western Asia,9.5199995
Republic of Latvia,Northern Europe,12.17
United Mexican States,Central America,12.71
Republic of Djibouti,Eastern Africa,1.4300001
Burkina Faso,Western Africa,2.42
Socialist Republic of Vietnam,South-eastern Asia,8.08
Canada,Northern America,9.4
Republic of the Philippines,South-eastern Asia,7.7200003
Kingdom of Morocco,Northern Africa,6.29
Turkmenistan,Central Asia,3.43
French Republic,Western Europe,10.95
Republic of Honduras,Central America,2.3200002
Republic of Guinea,Western Africa,0.44
Republic of Türkiye,Western Asia,10.5
Democratic Republic of the Congo,Middle Africa,4.31
Kingdom of Norway,Northern Europe,13.27
Republic of Slovenia,Southern Europe,10.17
Republic of Moldova,Eastern Europe,3.52
Republic of Albania,Southern Europe,8.29
"Nation of Brunei, Abode of Peace",South-eastern Asia,6.87
Commonwealth of the Bahamas,Caribbean,5.98
Republic of Cabo Verde,Western Africa,1.21
Republic of Lithuania,Northern Europe,12.94
Republic of Ghana,Western Africa,13.49
Republic of Azerbaijan,Western Asia,5.97
Republic of Cameroon,Middle Africa,1.8699999
Federated States of Micronesia,Micronesia,0.44
Federal Republic of Germany,Western Europe,13.82
Togolese Republic,Western Africa,1.54
Republic of Kazakhstan,Central Asia,5.4
Republic of Chile,South America,11.82
Kingdom of Cambodia,South-eastern Asia,0.22
Saint Lucia,Caribbean,2.8600001
Lebanese Republic,Western Asia,11.84
Republic of South Africa,Southern Africa,12.83
Republic of Niger,Western Africa,4.31
Portuguese Republic,Southern Europe,12.5
People's Republic of China,Eastern Asia,7.98
Republic of Iraq,Western Asia,5.8599997
State of Libya,Northern Africa,1.54
Republic of Finland,Northern Europe,13.039999
United Republic of Tanzania,Eastern Africa,7.51
Plurinational State of Bolivia,South America,1.6500001
Republic of Suriname,South America,2.31
People's Democratic Republic of Algeria,Northern Africa,4.1800003
Kingdom of Eswatini,Southern Africa,3.22
Republic of Croatia,Southern Europe,4.7299995
Republic of Kiribati,Micronesia,1.3199999
Kingdom of Bhutan,Southern Asia,10.410001
State of Kuwait,Western Asia,6.75
Republic of Ecuador,South America,7.8599997
Republic of Peru,South America,4.75
Oriental Republic of Uruguay,South America,4.1800003
Republic of Guatemala,Central America,0.77
Independent State of Papua New Guinea,Melanesia,10.190001
Democratic Socialist Republic of Sri Lanka,Southern Asia,10.52
Republic of Chad,Middle Africa,1.77
Republic of Paraguay,South America,4.1899996
Kingdom of Saudi Arabia,Western Asia,5.28
Arab Republic of Egypt,Northern Africa,9.74
Republic of Tajikistan,Central Asia,5.3
Republic of the Gambia,Western Africa,8.639999
Republic of Mauritius,Eastern Africa,12.17
Principality of Andorra,Southern Europe,3.75
Barbados,Caribbean,2.64
Republic of the Sudan,Northern Africa,7.87
Republic of Rwanda,Eastern Africa,4.9800005
United Arab Emirates,Western Asia,10.07
Republic of Madagascar,Eastern Africa,2.86
Saint Kitts and Nevis,Caribbean,2.21
Republic of Cuba,Caribbean,5.4
Republic of Estonia,Northern Europe,8.95
Principality of Monaco,Western Europe,7.87
Malaysia,South-eastern Asia,9.62
Republic of Equatorial Guinea,Middle Africa,0.0
Montenegro,Southern Europe,2.3200002
Republic of Sierra Leone,Western Africa,3.88
United Kingdom of Great Britain and Northern Ireland,Northern Europe,6.0
Commonwealth of Australia,Australia and New Zealand,13.6
Antigua and Barbuda,Caribbean,1.4300001
Saint Vincent and the Grenadines,Caribbean,6.9799995
Co-operative Republic of Guyana,South America,6.53
Federal Democratic Republic of Nepal,Southern Asia,6.41
Republic of Zambia,Eastern Africa,5.09
Republic of the Union of Myanmar,South-eastern Asia,4.52
Republic of Singapore,South-eastern Asia,9.85
Hashemite Kingdom of Jordan,Western Asia,5.08
Federal Democratic Republic of Ethiopia,Eastern Africa,1.21
Republic of Kenya,Eastern Africa,1.6500001
Republic of Korea,Eastern Asia,8.65
Republic of Namibia,Southern Africa,1.77
Republic of North Macedonia,Southern Europe,7.5
Republic of Tunisia,Northern Africa,7.51
Cook Islands,Polynesia,2.54
Republic of Liberia,Western Africa,6.3100004
Sultanate of Oman,Western Asia,5.63
Lao People's Democratic Republic,South-eastern Asia,0.0
Republic of the Marshall Islands,Micronesia,10.08
Gabonese Republic,Middle Africa,2.1000001
Republic of Nicaragua,Central America,9.74
Republic of Senegal,Western Africa,4.19
Federal Republic of Nigeria,Western Africa,1.65
Republic of Trinidad and Tobago,Caribbean,7.74
Republic of Seychelles,Eastern Africa,3.1
Russian Federation,Eastern Europe,3.75
Federal Republic of Somalia,Eastern Africa,2.86
Solomon Islands,Melanesia,0.22
Jamaica,Caribbean,11.51
Republic of Burundi,Eastern Africa,0.0
Niue,Polynesia,0.77
Republic of Maldives,Southern Asia,2.44
Republic of Mali,Western Africa,0.88
Kingdom of Tonga,Polynesia,4.09
Republic of Côte d'Ivoire,Western Africa,2.53
United States of America,Northern America,7.0
