expenditure_cad,country_name,suicide_mortality_rate
0.13497506,Federal Democratic Republic of Nepal,9.77
0.028406069,Republic of Zambia,14.43
0.04516972,Republic of the Union of Myanmar,2.96
,Republic of Singapore,9.65
0.18909016,Republic of Uganda,10.45
0.00076908886,Turkmenistan,6.07
528.54987,French Republic,9.65
0.027318642,Republic of Honduras,2.58
,Lao People's Democratic Republic,5.98
7.423628,Republic of the Marshall Islands,
1.0029137,Gabonese Republic,13.11
0.9545351,Republic of Nicaragua,4.66
0.1118036,Kingdom of Bhutan,5.07
,State of Kuwait,2.66
0.13497506,Republic of Ecuador,7.68
3.1911404,Republic of Peru,
0.42068028,Republic of Indonesia,2.55
308.74957,Ireland,8.9
,Republic of Vanuatu,20.96
6.4944825,Republic of Colombia,3.74
,Bosnia and Herzegovina,8.25
23.523071,Republic of Hungary,11.77
3.0996556,Republic of Fiji,9.51
1.7457159,Kingdom of Thailand,7.95
40.104706,Antigua and Barbuda,0.32
,Republic of El Salvador,6.11
0.049943592,Saint Vincent and the Grenadines,1.01
0.00064495165,Co-operative Republic of Guyana,40.85
4.3450923,Saint Lucia,6.85
2.699501,Lebanese Republic,2.76
14.17238,Republic of South Africa,23.49
,Republic of Niger,10.15
11.423726,Jamaica,2.28
,Republic of Burundi,12.12
7.7927036,Niue,
3.8224423,Republic of Maldives,2.76
43.518986,Republic of Latvia,16.06
1.3350803,United Mexican States,5.29
0.31214625,Republic of Djibouti,11.95
,Burkina Faso,14.38
138.30127,Japan,12.24
96.00642,Italian Republic,4.33
22.540834,Republic of Palau,
229.40935,Republic of Iceland,11.15
52.63445,Republic of Estonia,11.96
96.00642,Principality of Monaco,
3.1194494,Malaysia,5.77
,Republic of Equatorial Guinea,13.51
,Republic of Namibia,13.51
19.911114,Republic of North Macedonia,7.15
,Republic of Tunisia,3.18
9.552346,Cook Islands,
,Socialist Republic of Vietnam,7.22
84.9,Canada,10.34
0.6315963,Republic of the Philippines,2.54
,Kingdom of Morocco,7.29
,Republic of Benin,12.71
22.270884,Republic of Panama,2.86
,Bolivarian Republic of Venezuela,2.1
61.179558,Republic of Costa Rica,7.62
,Republic of Zimbabwe,23.63
10.736709,Republic of Bulgaria,6.5
,Kingdom of Denmark,7.63
0.44107082,Republic of Serbia,7.86
1.584242,Republic of Azerbaijan,3.97
,Republic of Cameroon,15.92
,Federated States of Micronesia,28.99
781.13635,Federal Republic of Germany,8.27
,State of Libya,4.49
269.64127,Republic of Finland,13.43
0.87023264,Belize,7.65
,United Republic of Tanzania,8.15
0.00022458403,Republic of Chad,13.22
,Republic of Paraguay,6.16
4.382238,Republic of Belarus,16.49
,Kingdom of Saudi Arabia,5.43
,Republic of Senegal,10.99
0.1522532,Federal Republic of Nigeria,6.87
36.01942,Republic of Trinidad and Tobago,8.28
,Republic of Seychelles,7.73
,Tuvalu,
,Kingdom of Belgium,13.93
0.13497506,People's Republic of Bangladesh,3.85
23.319185,State of Qatar,4.66
28.462135,Republic of Poland,9.3
,Kingdom of Bahrain,
,Islamic Republic of Iran,
113.53765,Republic of Botswana,20.22
,Saint Kitts and Nevis,
1.4968631,Mongolia,18.02
3055.388,Kingdom of Sweden,12.37
,Republic of Cuba,10.19
,Republic of Yemen,7.06
,Plurinational State of Bolivia,6.82
0.40492517,Islamic Republic of Afghanistan,5.96
0.87804914,Republic of Suriname,25.89
,Commonwealth of the Bahamas,3.37
,Republic of Cabo Verde,15.23
49.841003,Republic of Lithuania,20.15
0.37117046,Republic of Ghana,10.54
0.008666136,Republic of Rwanda,9.45
,United Arab Emirates,5.24
0.00044107082,Republic of Madagascar,9.18
,Argentine Republic,8.14
,Portuguese Republic,7.22
,People's Republic of China,6.67
3.5121984,Republic of Armenia,2.66
,Republic of Iraq,4.74
0.3047008,Arab Republic of Egypt,3.41
,Republic of Tajikistan,5.32
,Republic of the Gambia,9.64
20.846615,Republic of Mauritius,8.75
,Oriental Republic of Uruguay,18.83
,Republic of Guatemala,6.23
0.46993068,Independent State of Papua New Guinea,3.57
,Democratic Socialist Republic of Sri Lanka,12.89
,Republic of Haiti,11.17
9.216966,Islamic Republic of Pakistan,9.77
,Ukraine,17.73
,Dominican Republic,5.11
,People's Democratic Republic of Algeria,2.6
,Kingdom of Eswatini,40.46
,Republic of Croatia,11.01
0.2699636,Republic of Kiribati,30.56
,Hashemite Kingdom of Jordan,1.98
,Federal Democratic Republic of Ethiopia,9.45
,Republic of Kenya,11.01
6.4162507,Republic of Korea,21.16
,Republic of Mali,7.96
,Kingdom of Tonga,4.37
3.1044261,Republic of Côte d'Ivoire,15.66
,United States of America,14.51
,Kingdom of Spain,5.28
0.0013497506,Republic of Liberia,7.37
,Republic of Guinea-Bissau,14.79
9.7733,Sultanate of Oman,4.47
,Togolese Republic,14.81
,Republic of Kazakhstan,18.05
13.4920025,Republic of Chile,8.04
,Kingdom of Cambodia,5.39
,Russian Federation,21.6
,Federal Republic of Somalia,14.66
268.05225,New Zealand,10.3
,Solomon Islands,17.37
,Republic of Slovenia,13.97
3.588039,Republic of Moldova,12.17
,Republic of Albania,3.72
,"Nation of Brunei, Abode of Peace",2.54
,Principality of Andorra,
78.857506,Barbados,0.31
,Republic of the Sudan,4.76
813.5099,Swiss Confederation,9.83
,Hellenic Republic,3.62
,State of Eritrea,17.26
,Syrian Arab Republic,2.11
2.3230538,Federative Republic of Brazil,6.41
,Montenegro,16.22
,Republic of Sierra Leone,11.25
,United Kingdom of Great Britain and Northern Ireland,6.88
335.6547,Commonwealth of Australia,11.25
,Republic of Guinea,12.33
,Republic of Türkiye,2.34
,Democratic Republic of the Congo,12.41
,Kingdom of Norway,9.91
