facts_country_name,facts_un_region,total_score
Republic of Indonesia,South-eastern Asia,14.479999542236328
Islamic Republic of Iran,Southern Asia,13.929999351501465
Federal Republic of Germany,Western Europe,13.819999694824219
Commonwealth of Australia,Australia and New Zealand,13.600000381469727
Republic of Ghana,Western Africa,13.489999771118164
Kingdom of Cambodia,South-eastern Asia,0.2199999988079071
Solomon Islands,Melanesia,0.2199999988079071
Republic of Equatorial Guinea,Middle Africa,0.0
Lao People's Democratic Republic,South-eastern Asia,0.0
Republic of Burundi,Eastern Africa,0.0
