year,country_name,alcohol_use_disorders_%
2014,Russian Federation,5.135757923126221
2004,Republic of Lithuania,4.445775985717773
2012,Republic of Singapore,0.47436100244522095
2005,Republic of Belarus,5.346676826477051
2017,Republic of Belarus,5.342887878417969
1992,Kingdom of Morocco,0.5554329752922058
1995,Republic of Estonia,4.906951904296875
1991,Japan,0.5542920231819153
2001,Republic of Lithuania,4.7727251052856445
2006,Republic of Belarus,5.3654022216796875
2014,Republic of Estonia,4.912332057952881
2014,Japan,0.5739319920539856
1997,Italian Republic,0.44772300124168396
1998,Republic of Singapore,0.4889320135116577
2016,Republic of Estonia,4.788715839385986
1996,Japan,0.5627040266990662
1990,Republic of Lithuania,5.0841169357299805
2017,Russian Federation,4.727181911468506
2000,Republic of Singapore,0.4910849928855896
1993,Syrian Arab Republic,0.5764690041542053
1994,Kingdom of Morocco,0.5553029775619507
2013,Italian Republic,0.46690499782562256
1997,Russian Federation,5.208209991455078
1990,Syrian Arab Republic,0.5827540159225464
2015,Japan,0.5767099857330322
2003,Republic of Belarus,5.326972007751465
2008,Ukraine,4.966454029083252
1993,Japan,0.5579670071601868
1994,Ukraine,5.223567962646484
2014,Syrian Arab Republic,0.6225529909133911
2008,Republic of Lithuania,4.486386775970459
1991,Republic of Estonia,4.6501970291137695
2004,Russian Federation,5.162841796875
2007,Republic of Lithuania,4.445613861083984
2016,Republic of Belarus,5.381010055541992
2009,Kingdom of Morocco,0.5696340203285217
1992,Japan,0.5561630129814148
2007,Republic of Belarus,5.397580146789551
1994,Italian Republic,0.44766199588775635
2003,Republic of Lithuania,4.542516231536865
1991,Italian Republic,0.4549509882926941
2006,Republic of Singapore,0.46869900822639465
1998,Russian Federation,5.297826766967773
2013,Republic of Belarus,5.455420017242432
2008,Republic of Belarus,5.432641983032227
2010,Italian Republic,0.4672200083732605
1995,Republic of Singapore,0.4839780032634735
1995,Syrian Arab Republic,0.5755659937858582
2004,Kingdom of Morocco,0.5608310103416443
2002,Republic of Lithuania,4.66204309463501
1991,Syrian Arab Republic,0.5802220106124878
2005,Ukraine,4.953873157501221
2009,Ukraine,4.984623908996582
2002,Japan,0.566648006439209
2002,Russian Federation,5.305397987365723
1998,Kingdom of Morocco,0.5575829744338989
1997,Republic of Belarus,5.231324195861816
2015,Italian Republic,0.46570199728012085
2010,Republic of Estonia,5.024748802185059
1998,Italian Republic,0.4485580027103424
2011,Kingdom of Morocco,0.5721859931945801
2017,Italian Republic,0.46293699741363525
1996,Republic of Lithuania,4.99864387512207
2013,Republic of Estonia,4.958878040313721
2001,Syrian Arab Republic,0.58269202709198
2009,Russian Federation,5.371662139892578
2010,Republic of Belarus,5.474668025970459
1995,Japan,0.5610589981079102
2013,Ukraine,4.9236531257629395
2014,Ukraine,4.880967140197754
1999,Syrian Arab Republic,0.5803840160369873
2006,Republic of Estonia,4.939027786254883
1996,Republic of Belarus,5.1958489418029785
2011,Russian Federation,5.347993850708008
2009,Republic of Estonia,5.015085220336914
1991,Russian Federation,4.9037861824035645
2010,Ukraine,4.988822937011719
2009,Syrian Arab Republic,0.6175130009651184
2000,Republic of Estonia,5.060739040374756
2004,Japan,0.5616809725761414
2004,Ukraine,5.006110191345215
2008,Russian Federation,5.303800106048584
2012,Japan,0.5692620277404785
2013,Republic of Lithuania,4.5344672203063965
2001,Republic of Belarus,5.30929708480835
2009,Japan,0.5649080276489258
1993,Republic of Belarus,5.0549092292785645
2005,Republic of Estonia,4.933495998382568
2017,Syrian Arab Republic,0.621550977230072
1991,Republic of Singapore,0.4797149896621704
1993,Republic of Estonia,4.804267883300781
1996,Republic of Estonia,4.944610118865967
1999,Russian Federation,5.367187023162842
1998,Republic of Lithuania,4.927049160003662
2002,Italian Republic,0.45035600662231445
1990,Kingdom of Morocco,0.5560050010681152
1995,Italian Republic,0.44694000482559204
2000,Syrian Arab Republic,0.5815600156784058
1996,Syrian Arab Republic,0.5763490200042725
1997,Republic of Estonia,4.984036922454834
1998,Japan,0.5668969750404358
2007,Republic of Estonia,4.961599826812744
2006,Syrian Arab Republic,0.5945540070533752
2006,Italian Republic,0.45343199372291565
2004,Republic of Singapore,0.47078201174736023
2015,Syrian Arab Republic,0.6224250197410583
1996,Ukraine,5.276103973388672
2002,Republic of Estonia,5.022470951080322
1996,Italian Republic,0.4470979869365692
2001,Italian Republic,0.45015498995780945
1990,Japan,0.5524529814720154
2014,Republic of Singapore,0.4796079993247986
2001,Kingdom of Morocco,0.5595840215682983
2011,Ukraine,4.977231979370117
2012,Italian Republic,0.4671269953250885
2013,Syrian Arab Republic,0.6224570274353027
2008,Italian Republic,0.4619489908218384
1993,Republic of Lithuania,5.050155162811279
2007,Russian Federation,5.215338230133057
1994,Republic of Estonia,4.863354206085205
1992,Ukraine,5.135332107543945
2017,Japan,0.5828800201416016
2006,Russian Federation,5.141971111297607
1992,Republic of Estonia,4.732294082641602
1997,Ukraine,5.293704032897949
2008,Kingdom of Morocco,0.5673499703407288
1990,Republic of Estonia,4.561718940734863
1990,Italian Republic,0.458407998085022
2000,Russian Federation,5.392886161804199
2011,Syrian Arab Republic,0.6215779781341553
1995,Ukraine,5.2534990310668945
1990,Ukraine,5.019169807434082
1992,Republic of Lithuania,5.064901828765869
1991,Republic of Belarus,4.889664173126221
1992,Republic of Belarus,4.977548122406006
2010,Russian Federation,5.383425235748291
1994,Republic of Singapore,0.48317599296569824
1999,Republic of Singapore,0.4904380142688751
1997,Syrian Arab Republic,0.577547013759613
1990,Republic of Belarus,4.7951178550720215
2001,Ukraine,5.2490410804748535
1992,Italian Republic,0.4518609941005707
2002,Republic of Belarus,5.317841053009033
2014,Republic of Belarus,5.4369587898254395
2002,Republic of Singapore,0.4832479953765869
2016,Kingdom of Morocco,0.5750409960746765
2000,Ukraine,5.291400909423828
1993,Russian Federation,4.989494800567627
2016,Japan,0.579704999923706
2011,Japan,0.5674780011177063
1999,Republic of Belarus,5.2880120277404785
2010,Republic of Lithuania,4.54343318939209
1997,Kingdom of Morocco,0.5565609931945801
1991,Ukraine,5.080042839050293
1993,Kingdom of Morocco,0.5553299784660339
2001,Russian Federation,5.3658270835876465
1990,Russian Federation,4.865287780761719
2010,Kingdom of Morocco,0.5711849927902222
2009,Republic of Belarus,5.461357116699219
2000,Italian Republic,0.4499000012874603
2012,Republic of Estonia,4.993750095367432
2004,Syrian Arab Republic,0.5878109931945801
2001,Republic of Singapore,0.4888179898262024
1990,Republic of Singapore,0.47838500142097473
2015,Republic of Estonia,4.855356216430664
2014,Kingdom of Morocco,0.5744990110397339
2010,Republic of Singapore,0.47178301215171814
1993,Ukraine,5.183602809906006
2015,Russian Federation,5.023229122161865
2017,Republic of Estonia,4.713616847991943
2015,Kingdom of Morocco,0.5748940110206604
1992,Syrian Arab Republic,0.5780760049819946
1995,Russian Federation,5.065327167510986
2007,Ukraine,4.9470648765563965
2000,Kingdom of Morocco,0.5592010021209717
2016,Syrian Arab Republic,0.6220980286598206
2014,Italian Republic,0.4664500057697296
2013,Russian Federation,5.226820945739746
2002,Kingdom of Morocco,0.5599600076675415
2016,Russian Federation,4.887594223022461
2015,Ukraine,4.826953887939453
2007,Syrian Arab Republic,0.6021339893341064
2010,Japan,0.5661600232124329
2003,Ukraine,5.086197853088379
2005,Syrian Arab Republic,0.5900139808654785
2005,Russian Federation,5.122568130493164
2013,Kingdom of Morocco,0.5738959908485413
2005,Kingdom of Morocco,0.5614370107650757
2007,Kingdom of Morocco,0.5648819804191589
2006,Ukraine,4.938663005828857
1996,Russian Federation,5.122250080108643
2006,Japan,0.5611379742622375
1992,Russian Federation,4.946846008300781
2003,Kingdom of Morocco,0.5603520274162292
2000,Republic of Belarus,5.301741123199463
2004,Republic of Estonia,4.951529026031494
1998,Republic of Belarus,5.263432025909424
2007,Italian Republic,0.457412987947464
2008,Japan,0.5634859800338745
2003,Republic of Estonia,4.98518705368042
2000,Japan,0.5695260167121887
2011,Republic of Belarus,5.473536014556885
2016,Republic of Lithuania,4.464844226837158
1991,Kingdom of Morocco,0.555653989315033
2011,Italian Republic,0.4672040045261383
2012,Republic of Belarus,5.467507839202881
2017,Republic of Singapore,0.49136900901794434
2010,Syrian Arab Republic,0.6208419799804688
1999,Kingdom of Morocco,0.558559000492096
2016,Republic of Singapore,0.4871479868888855
2002,Ukraine,5.1739702224731445
2003,Syrian Arab Republic,0.5858240127563477
2012,Syrian Arab Republic,0.6221140027046204
2011,Republic of Estonia,5.015844821929932
2012,Republic of Lithuania,4.544161796569824
2003,Russian Federation,5.230733871459961
2002,Syrian Arab Republic,0.5841159820556641
2007,Japan,0.5621410012245178
2015,Republic of Singapore,0.48315900564193726
1994,Syrian Arab Republic,0.5755689740180969
2011,Republic of Singapore,0.47263699769973755
2015,Republic of Belarus,5.412365913391113
1997,Republic of Singapore,0.4870130121707916
2008,Syrian Arab Republic,0.6105260252952576
2008,Republic of Estonia,4.990515232086182
2012,Ukraine,4.955688953399658
2006,Kingdom of Morocco,0.5627359747886658
1996,Kingdom of Morocco,0.555715024471283
2011,Republic of Lithuania,4.547093868255615
1998,Syrian Arab Republic,0.5789719820022583
1998,Ukraine,5.303666114807129
1999,Ukraine,5.303688049316406
1999,Republic of Estonia,5.047093868255615
1992,Republic of Singapore,0.48099398612976074
2017,Ukraine,4.686882972717285
2000,Republic of Lithuania,4.843058109283447
1997,Japan,0.5647789835929871
2016,Italian Republic,0.46458500623703003
1999,Japan,0.5686269998550415
2017,Republic of Lithuania,4.4280009269714355
2012,Kingdom of Morocco,0.5731019973754883
1994,Republic of Belarus,5.11756706237793
1995,Kingdom of Morocco,0.555325984954834
2009,Italian Republic,0.46567898988723755
2001,Japan,0.5688179731369019
2003,Japan,0.563962996006012
2013,Republic of Singapore,0.4766699969768524
1994,Republic of Lithuania,5.034585952758789
2006,Republic of Lithuania,4.41368293762207
1993,Republic of Singapore,0.4821619987487793
2008,Republic of Singapore,0.47036901116371155
1993,Italian Republic,0.4493649899959564
1995,Republic of Lithuania,5.0196380615234375
2005,Japan,0.5607309937477112
2001,Republic of Estonia,5.051535129547119
1994,Japan,0.5596259832382202
1999,Republic of Lithuania,4.8844380378723145
2012,Russian Federation,5.297206878662109
2015,Republic of Lithuania,4.494682788848877
2017,Kingdom of Morocco,0.574865996837616
2013,Japan,0.5714390277862549
2004,Republic of Belarus,5.336839199066162
2005,Republic of Singapore,0.4683780074119568
2003,Italian Republic,0.45059001445770264
1991,Republic of Lithuania,5.0766987800598145
2009,Republic of Singapore,0.4711900055408478
2003,Republic of Singapore,0.47645699977874756
1995,Republic of Belarus,5.161239147186279
2005,Republic of Lithuania,4.403335094451904
2007,Republic of Singapore,0.46950000524520874
1998,Republic of Estonia,5.0196638107299805
2005,Italian Republic,0.4514169991016388
1997,Republic of Lithuania,4.966462135314941
2004,Italian Republic,0.4509260058403015
1996,Republic of Singapore,0.485166996717453
2009,Republic of Lithuania,4.523478031158447
2014,Republic of Lithuania,4.517930030822754
1994,Russian Federation,5.029294967651367
1999,Italian Republic,0.4493600130081177
2016,Ukraine,4.7623491287231445
1990,Mean,1.524456123196626
2003,Mean,1.5537330817572679
2007,Mean,1.5670792677357226
2015,Mean,1.5827612371384343
2006,Mean,1.5582073462914816
2013,Mean,1.5884943877971625
1997,Mean,1.5539736868459968
1994,Mean,1.5464087079597424
2014,Mean,1.5861819924055776
2004,Mean,1.5526376387363747
1991,Mean,1.531042607524727
1996,Mean,1.5518845493280435
1998,Mean,1.5556391392704807
2012,Mean,1.5897706062356127
2009,Mean,1.5855791529145422
2016,Mean,1.5781573034540008
1995,Mean,1.5494150061018859
2001,Mean,1.5572788702158988
1992,Mean,1.5370568612331077
2005,Mean,1.5533474021697347
2000,Mean,1.5576796518473686
2010,Mean,1.589601678750183
2011,Mean,1.590064117614227
2008,Mean,1.5771355046124398
2017,Mean,1.572191660917258
1999,Mean,1.5568720138148417
2002,Mean,1.555618686766564
1993,Mean,1.5423600671789315
