un_region,year,male_suicide_%,female_suicide_%
Micronesia,2019,28.25,45.89999961853027
Southern Africa,2019,19.674999952316284,33.92499923706055
Eastern Asia,2019,17.475000143051147,25.62500023841858
Eastern Europe,2019,17.17142881665911,29.55714293888637
Western Europe,2019,14.724999904632568,21.02500009536743
Northern Europe,2019,14.300000047683715,22.6
Western Asia,2019,4.500000009169946,6.307692252672636
Caribbean,2019,5.350000050663948,8.280000007152557
Northern Africa,2019,4.049999952316284,5.399999936421712
Central America,2019,5.237500071525574,8.72500005364418
Polynesia,2019,3.799999952316284,5.0
South-eastern Asia,2019,5.37000002861023,7.999999928474426
