Tonga,Kingdom of Tonga,TON,Polynesia
Democratic Republic of the Congo,Democratic Republic of the Congo,COD,Middle Africa
Ethiopia,Federal Democratic Republic of Ethiopia,ETH,Eastern Africa
Cabo Verde,Republic of Cabo Verde,CPV,Western Africa
Algeria,People's Democratic Republic of Algeria,DZA,Northern Africa
Ghana,Republic of Ghana,GHA,Western Africa
Iraq,Republic of Iraq,IRQ,Western Asia
Slovenia,Republic of Slovenia,SVN,Southern Europe
Djibouti,Republic of Djibouti,DJI,Eastern Africa
Ecuador,Republic of Ecuador,ECU,South America
Dominican Republic,Dominican Republic,DOM,Caribbean
Albania,Republic of Albania,ALB,Southern Europe
Chile,Republic of Chile,CHL,South America
Mauritius,Republic of Mauritius,MUS,Eastern Africa
Bulgaria,Republic of Bulgaria,BGR,Eastern Europe
Marshall Islands,Republic of the Marshall Islands,MHL,Micronesia
Libya,State of Libya,LBY,Northern Africa
Fiji,Republic of Fiji,FJI,Melanesia
Panama,Republic of Panama,PAN,Central America
Saint Kitts and Nevis,Saint Kitts and Nevis,KNA,Caribbean
