Indonesia,Republic of Indonesia,IDN,South-eastern Asia
Kenya,Republic of Kenya,KEN,Eastern Africa
Turkey,Republic of Türkiye,TUR,Western Asia
France,French Republic,FRA,Western Europe
Benin,Republic of Benin,BEN,Western Africa
Eswatini,Kingdom of Eswatini,SWZ,Southern Africa
Mali,Republic of Mali,MLI,Western Africa
Niue,Niue,NIU,Polynesia
Sierra Leone,Republic of Sierra Leone,SLE,Western Africa
Kazakhstan,Republic of Kazakhstan,KAZ,Central Asia
Lithuania,Republic of Lithuania,LTU,Northern Europe
United Republic of Tanzania,United Republic of Tanzania,TZA,Eastern Africa
Ukraine,Ukraine,UKR,Eastern Europe
Burkina Faso,Burkina Faso,BFA,Western Africa
El Salvador,Republic of El Salvador,SLV,Central America
Iran,Islamic Republic of Iran,IRN,Southern Asia
China,People's Republic of China,CHN,Eastern Asia
Sri Lanka,Democratic Socialist Republic of Sri Lanka,LKA,Southern Asia
Kiribati,Republic of Kiribati,KIR,Micronesia
Lebanon,Lebanese Republic,LBN,Western Asia
