Denmark,Kingdom of Denmark,DNK,Northern Europe
Cameroon,Republic of Cameroon,CMR,Middle Africa
Costa Rica,Republic of Costa Rica,CRI,Central America
Saint Vincent and The Grenadines,Saint Vincent and the Grenadines,VCT,Caribbean
Argentina,Argentine Republic,ARG,South America
Bahamas,Commonwealth of the Bahamas,BHS,Caribbean
Sweden,Kingdom of Sweden,SWE,Northern Europe
Burundi,Republic of Burundi,BDI,Eastern Africa
Venezuela,Bolivarian Republic of Venezuela,VEN,South America
Canada,Canada,CAN,Northern America
Pakistan,Islamic Republic of Pakistan,PAK,Southern Asia
Cambodia,Kingdom of Cambodia,KHM,South-eastern Asia
Singapore,Republic of Singapore,SGP,South-eastern Asia
Barbados,Barbados,BRB,Caribbean
Seychelles,Republic of Seychelles,SYC,Eastern Africa
Bolivia,Plurinational State of Bolivia,BOL,South America
Bahrain,Kingdom of Bahrain,BHR,Western Asia
Trinidad and Tobago,Republic of Trinidad and Tobago,TTO,Caribbean
Spain,Kingdom of Spain,ESP,Southern Europe
Montenegro,Montenegro,MNE,Southern Europe
Senegal,Republic of Senegal,SEN,Western Africa
Qatar,State of Qatar,QAT,Western Asia
Bangladesh,People's Republic of Bangladesh,BGD,Southern Asia
Jordan,Hashemite Kingdom of Jordan,JOR,Western Asia
