Country,Suicide prevention programme,Mental Health Awareness /Anti- stigma,Early Child Development,School based mental health prevention and promotion,Parental / Maternal mental health promotion and prevention,Work-related mental health prevention and promotion,"Mental health and psychosocial component of disaster preparedness, disaster risk reduction"
Afghanisthan,"-,-,-,-","peace of mind, national, NGO, yes","-,-,-,-","preventation of mental disorder for young children, distrct,ngo,yes",??,??,??
Albania,"-,-,-,-","Awerness Campaign Calendar,National ,Government ,Yes","Home visiting programme,Regional ,Government ,No","-,-,-,-","-,-,-,-","Mental Health Promotion and Intervention in 
Occupational Settings Project,National ,NGO ,No","Mental Health and Psychosocial Support in 
Emergencies,National ,NGO ,No"
Algeria,"-,-,-,-",-,"-,-,-,-","-,-,-,-","-,-,-,-",-,-
Andorra,"-,-,-,-",-,"Development Unit, National, Jointly managed","-,-,-,-","-,-,-,-",-,-
Antigua and Barbuda,"-,-,-,-",-,"-,-,-,-","-,-,-,-","-,-,-,-",-,-
Argentina,"-,-,-,-",-,"Programa Nacional de Desarrollo de Seguros Públicos 
de Salud, National, Govenment, Yes","Programa Nacional de Salud Escolar, National, Government, Yes","Programa Nacional de Desarrollo de Seguros Públicos 
de Salud, National, Government, Yes",-,-
Armenia,"-,-,-,-",-,"-,-,-,-","-,-,-,-","-,-,-,-",-,-
Australia,"The Way Back Support Service, National, Jointly Managed, Yes","National Workforce Centre for Child Mental Health, National, NGO, Yes","Family Mental Health Support Services (FMHSS),, National, NGO, Yes","Mental Health in Education (Known as Be You),National, NGO, Yes","National Perinatal Mental Health and Wellbeing 
Program, National, NGO, Yes","National Workplace Initiative, National, NGO, Yes","Australian government mental health response to 
bushfire trauma, National, NGO, Yes"
Azerbaijan,"-,-,-,-","Integrated into national MHA programmes, National, NGO, Yes","-,-,-,-","Integrated into national SBMH programmes, National, NGO, Yes","-,-,-,-",-,"Integrated into national DRR programmes, National, NGO, Yes"
Bahamas,"-,-,-,-",-,"Neurodevelopment Clinic, Regional, Government, -","Mental Health Literacy Programme, Regional, Government, -","Parent Craft, Regional Government, -",-,"MHPSS Network, National, Jointly managed, -"
Bahrain,"Integration of mental clinics in primary carescreening programs for adolescents including 
screening and dealing with high-risk patient of suicide, National, Government, Yes","Mental Health Awareness Workshops in Primary 
Health Care, National, Government, Yes","Mother and Child Care Unit, National, Government, Yes","School mental health program, National, Government, Yes","Mother and Child Care Unit, National, Government, Yes","Psychiatric hospital internal disaster plan, National, Government, Yes","Mental Health Promotion and Prevention during 
National Crises. (Domain of Mental health strategy 
2022-2026)/the national team to combat pandemic of 
corona virus (2020), National, Government, Yes"
Bangladesh,"Integrated in Mental Health operational plan, National, Jointly Managed, Yes","Workshop on responsible reporting of suicide for 
media professionals, National, Jointly Managed, Yes","Bangladesh ECD network, National, Jointly Managed, Yes","Workshops on ""Youth engagement in mental health"", National, Jointly Managed, Yes","Supporting maternal mental health of Rohinga 
refugee women during the perinatal period to 
promote child health and wellbeing, National, Jointly Managed, Yes","Seminar on mental health in workplace, National, Jointly Managed, Yes","Training on crisis preparedness and management for 
mental health (CPM-MH, National, Jointly Managed, Yes"
Barbados,"-,-,-,-",-,"-,-,-,-","-,-,-,-","-,-,-,-",-,-
Belarus,"-,-,-,-",-,"-,-,-,-","-,-,-,-","-,-,-,-",-,-
Belgium,"Flemish Health Goal Suicide Prevention/ Flemish 
Action Plan Suicide Prevention, Regional, Jointly Managed, Yes","Te gek (Flemish Region); Appétit des indigestes 
(Brussels Capital Region) PFCSM, Regional, Jointly Managed, Yes","-,-,-,-","-,-,-,-","Towards integrated antenatal care, Regional, Jointly Managed, Yes",-,-
Belizer,"-,-,-,-",-,"-,-,-,-","Mental Health Literacy in Schools, National, Government, No","-,-,-,-","Part of annual operation plan,National, Government, No","Disaster related MHPSS for nurses & health personnel, National, Government, Yes"
